test_date,new_positive,issue_date
2020-06-18,6759,2022-04-26
2020-06-17,6748,2022-04-26
2020-06-16,6463,2022-04-26
2020-06-15,6430,2022-04-26
2020-06-14,2997,2022-04-26
2020-06-13,3648,2022-04-26
2020-06-12,4473,2022-04-26
2020-06-11,4070,2022-04-26
2020-06-10,4254,2022-04-26
2020-06-09,3997,2022-04-26
2020-06-08,4198,2022-04-26
2020-06-07,2023,2022-04-26
2020-06-06,2698,2022-04-26
2020-06-05,3707,2022-04-26
2020-06-04,3595,2022-04-26
2020-06-03,3411,2022-04-26
2020-06-02,3896,2022-04-26
2020-06-01,3666,2022-04-26
2020-05-31,1587,2022-04-26
2020-05-30,2220,2022-04-26
2020-05-29,3787,2022-04-26
2020-05-28,3181,2022-04-26
2020-05-27,3524,2022-04-26
2020-05-26,3597,2022-04-26
2020-05-25,2228,2022-04-26
2020-05-24,1402,2022-04-26
2020-05-23,1743,2022-04-26
2020-05-22,2521,2022-04-26
2020-05-21,2445,2022-04-26
2020-05-20,2724,2022-04-26
2020-05-19,2409,2022-04-26
2020-05-18,2799,2022-04-26
2020-05-17,1331,2022-04-26
2020-05-16,1729,2022-04-26
2020-05-15,2517,2022-04-26
2020-05-14,2652,2022-04-26
2020-05-13,2304,2022-04-26
2020-05-12,2469,2022-04-26
2020-05-11,2440,2022-04-26
2020-05-10,1325,2022-04-26
2020-05-09,1581,2022-04-26
2020-05-08,2264,2022-04-26
2020-05-07,2144,2022-04-26
2020-05-06,2349,2022-04-26
2020-05-05,2597,2022-04-26
2020-05-04,2431,2022-04-26
2020-05-03,1149,2022-04-26
2020-05-02,1387,2022-04-26
2020-05-01,2230,2022-04-26
2020-04-30,1939,2022-04-26
2020-04-29,2037,2022-04-26
2020-04-28,2101,2022-04-26
2020-04-27,2246,2022-04-26
2020-04-26,1266,2022-04-26
2020-04-25,1619,2022-04-26
2020-04-24,2007,2022-04-26
2020-04-23,1841,2022-04-26
2020-04-22,1763,2022-04-26
2020-04-21,1675,2022-04-26
2020-04-20,1907,2022-04-26
2020-04-19,1077,2022-04-26
2020-04-18,1212,2022-04-26
2020-04-17,1602,2022-04-26
2020-04-16,1670,2022-04-26
2020-04-15,1664,2022-04-26
2020-04-14,1491,2022-04-26
2020-04-13,1516,2022-04-26
2020-04-12,994,2022-04-26
2020-04-11,1049,2022-04-26
2020-04-10,1471,2022-04-26
2020-04-09,1404,2022-04-26
2020-04-08,1469,2022-04-26
2020-04-07,1422,2022-04-26
2020-04-06,1362,2022-04-26
2020-04-05,1144,2022-04-26
2020-04-04,1125,2022-04-26
2020-04-03,1518,2022-04-26
2020-04-02,1373,2022-04-26
2020-04-01,1509,2022-04-26
2020-03-31,1257,2022-04-26
2020-03-30,1377,2022-04-26
2020-03-29,825,2022-04-26
2020-03-28,939,2022-04-26
2020-03-27,998,2022-04-26
2020-03-26,968,2022-04-26
2020-03-25,1054,2022-04-26
2020-03-24,843,2022-04-26
2020-03-23,1031,2022-04-26
2020-03-22,758,2022-04-26
2020-03-21,690,2022-04-26
2020-03-20,962,2022-04-26
2020-03-19,779,2022-04-26
2020-03-18,771,2022-04-26
2020-03-17,832,2022-04-26
2020-03-16,872,2022-04-26
2020-03-15,599,2022-04-26
2020-03-14,509,2022-04-26
2020-03-13,579,2022-04-26
2020-03-12,505,2022-04-26
2020-03-11,427,2022-04-26
2020-03-10,356,2022-04-26
2020-03-09,330,2022-04-26
2020-03-08,180,2022-04-26
2020-03-07,164,2022-04-26
2020-03-06,159,2022-04-26
2020-03-05,110,2022-04-26
2020-03-04,95,2022-04-26
2020-03-03,85,2022-04-26
2020-03-02,77,2022-04-26
2020-03-01,100,2022-04-26
